3948260|jack-3566734|Norway|2026-08-11|2026-08-11|Risk|Active|Casino|Gold III|2026-08-11|15|0.00|36239.46|0|4|0.00|-28820.88|0.00|-29068.15|0.00|247.27|0.00|109320.20|0.00|36239.46|0.00|-29068.15|2026-08-19|3|3
3365363|maxbud|VPN Player|2024-04-05|2024-07-24|Elit|Active|Sport|Platinium I|2026-08-04|22|36032.35|23297.36|119|43|11187.95|255.98|8628.75|-2673.51|2559.20|2929.49|255266.75|294450.62|22420.02|23297.36|4671.11|-2673.51|2026-08-24|18|21
3569024|ruknettin|Montenegro|2025-02-10|2025-02-17|Regular|Active|Casino|Gold III|2026-07-08|30|2208.92|18695.36|1|7|-973.49|4029.42|-1068.04|3837.91|94.55|191.51|6854.32|57551.10|2208.92|18695.36|-1068.21|3837.91|2026-07-30|6|9
3948554|fortune-4149804|Norway|2026-08-12|2026-08-13|Risk|Active|Live Casino|Gold I|2026-08-13|13|0.00|16823.80|0|2|0.00|-18732.30|0.00|-18732.30|0.00|0.00|0.00|37497.20|0.00|16823.80|0.00|-18732.30|2026-08-19|2|2
1193571|JussiNyTv|Finland|2017-11-28|2017-11-30|Regular|Active|Casino|Gold IV|2026-08-03|23|36555.39|8544.20|5|1|25741.36|8530.83|23598.21|8526.13|2143.15|4.70|343449.82|20369.96|27986.70|8544.20|24226.04|8526.13|2026-08-22|1|1
1005369|andrei|Romania|2015-01-18|2015-01-18|Risk|Active|Sport|Silver IV|2026-08-06|20|6230.49|8315.90|81|25|-9.87|-496.20|-528.60|-1124.93|518.73|628.73|50973.45|9266.24|398.56|8315.90|1.29|-1124.93|2026-08-24|17|17
3917519|GoatedM|Finland|2026-05-07|2026-05-29|Risk|Active|Sport|Gold I|2026-08-05|21|6574.71|6825.87|11|12|2867.92|-1193.89|1064.63|-1769.96|1803.29|576.06|21510.46|13373.69|4576.49|6825.87|889.32|-1769.96|2026-08-23|10|13
3922775|Loveyoulyngehd|Denmark|2026-05-29|2026-05-29|Regular|Active|Casino|Gold III|2026-07-15|30|7923.80|5408.82|107|73|3243.21|3548.77|1372.49|2935.37|1870.72|613.40|39953.93|28443.64|4626.05|4794.86|-482.23|2318.92|2026-08-24|36|38
3182682|Purneken|India|2023-06-20|2023-08-22|Risk|Active|Dice|Silver III|2026-08-13|13|4820.09|5335.42|16|18|142.22|697.01|-1103.42|-55.50|1245.64|752.50|8554.76|8472.65|1974.95|5335.42|-550.05|-55.50|2026-08-24|11|11
3939934|LockedIN|Denmark|2026-07-14|2026-07-14|Regular|Active|Casino|Gold IV|2026-08-06|20|16854.52|4881.22|27|37|15931.22|-2368.93|15815.23|-4164.77|115.99|1795.84|139618.84|22563.61|15456.25|4881.22|14417.70|-4164.77|2026-08-24|5|6
